Poll,Date,Sample,Democrats (D),Republicans (R),Spread
Final Results,--,--,48.0,49.1,Republicans +1.1
RCP Average,11/1 - 11/7,--,46.0,45.4,Democrats +0.6
BloombergBloomberg,11/4 - 11/6,799 LV,45,48,Republicans +3
Economist/YouGovEconomist,11/4 - 11/7,3677 LV,45,42,Democrats +3
FOX NewsFOX News,11/3 - 11/6,1295 LV,45,46,Republicans +1
NBC News/Wall St. JrnlNBC/WSJ,11/3 - 11/5,1282 LV,47,44,Democrats +3
McClatchy/MaristMcClatchy,11/1 - 11/3,940 LV,48,47,Democrats +1
Economist/YouGovEconomist,10/30 - 11/1,1228 LV,46,41,Democrats +5
Reuters/IpsosReuters,10/29 - 11/2,1858 LV,42,41,Democrats +1
CBS News/NY TimesCBS/NYT,10/28 - 11/1,1333 RV,49,46,Democrats +3
Economist/YouGovEconomist,10/22 - 10/26,1209 LV,45,40,Democrats +5
FOX NewsFOX News,10/22 - 10/25,1221 LV,47,45,Democrats +2
ABC NewsABC News,10/22 - 10/24,828 LV,47,46,Democrats +1
Associated Press-GfKAP-GfK,10/20 - 10/24,1212 LV,46,41,Democrats +5
CNN/ORCCNN/ORC,10/20 - 10/23,779 LV,50,47,Democrats +3
Reuters/IpsosReuters,10/20 - 10/24,1170 LV,44,39,Democrats +5
Economist/YouGovEconomist,10/15 - 10/18,925 RV,43,38,Democrats +5
BloombergBloomberg,10/14 - 10/17,1006 LV,47,43,Democrats +4
Reuters/IpsosReuters,10/13 - 10/17,1190 LV,43,39,Democrats +4
CBS NewsCBS News,10/12 - 10/16,1189 LV,50,45,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,10/10 - 10/13,905 LV,47,44,Democrats +3
ABC News/Wash PostABC/WP,10/10 - 10/13,740 LV,47,44,Democrats +3
FOX NewsFOX News,10/10 - 10/12,917 LV,48,42,Democrats +6
GWU/BattlegroundGWU/Battleground,10/8 - 10/13,1000 LV,47,42,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/10,900 RV,48,42,Democrats +6
Reuters/IpsosReuters,10/6 - 10/10,2363 A,46,36,Democrats +10
NBC News/Wall St. JrnlNBC/WSJ,10/8 - 10/9,500 RV,49,42,Democrats +7
Economist/YouGovEconomist,10/7 - 10/8,971 RV,42,39,Democrats +3
Economist/YouGovEconomist,10/1 - 10/3,911 RV,43,37,Democrats +6
Reuters/IpsosReuters,9/29 - 10/3,1669 RV,42,38,Democrats +4
FOX NewsFOX News,9/27 - 9/29,911 LV,44,43,Democrats +1
Reuters/IpsosReuters,9/22 - 9/26,1041 LV,42,36,Democrats +6
BloombergBloomberg,9/21 - 9/24,1002 LV,46,44,Democrats +2
Economist/YouGovEconomist,9/22 - 9/24,948 RV,43,38,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,9/16 - 9/19,1000 RV,48,45,Democrats +3
McClatchy/MaristMcClatchy,9/15 - 9/20,758 LV,49,45,Democrats +4
Economist/YouGovEconomist,9/18 - 9/19,936 RV,43,36,Democrats +7
Reuters/IpsosReuters,9/15 - 9/19,1111 LV,39,40,Republicans +1
Economist/YouGovEconomist,9/10 - 9/13,926 RV,44,38,Democrats +6
Reuters/IpsosReuters,9/8 - 9/12,1752 A,40,38,Democrats +2
Economist/YouGovEconomist,9/4 - 9/6,955 RV,41,38,Democrats +3
Reuters/IpsosReuters,9/1 - 9/5,1084 LV,40,39,Democrats +1
CNN/ORCCNN/ORC,9/1 - 9/4,786 LV,47,49,Republicans +2
GWU/BattlegroundGWU/Battleground,8/28 - 9/1,1000 LV,45,43,Democrats +2
McClatchy/MaristMcClatchy,8/1 - 8/3,983 RV,49,41,Democrats +8
NBC News/Wall St. JrnlNBC/WSJ,7/31 - 8/3,800 RV,47,43,Democrats +4
PPP (D)PPP (D),7/29 - 7/30,1276 LV,47,44,Democrats +3
FOX NewsFOX News,6/26 - 6/28,1017 RV,46,41,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,6/19 - 6/23,1000 RV,46,46,Tie
NBC News/Wall St. JrnlNBC/WSJ,5/15 - 5/19,1000 RV,48,44,Democrats +4
ABC News/Wash PostABC/WP,5/16 - 5/19,829 RV,45,45,Tie
GWU/BattlegroundGWU/Battleground,4/17 - 4/20,1000 LV,46,41,Democrats +5
NBC News/Wall St. JrnlNBC/WSJ,4/10 - 4/14,1000 RV,47,45,Democrats +2
PPP (D)PPP (D),3/24 - 3/26,1083 RV,43,43,Tie
PPP (D)PPP (D),2/2 - 2/3,1236 RV,47,41,Democrats +6
PPP (D)PPP (D),12/16 - 12/17,1267 RV,43,43,Tie
NBC News/Wall St. JrnlNBC/WSJ,10/25 - 10/29,847 RV,45,45,Tie
QuinnipiacQuinnipiac,7/23 - 7/28,1644 RV,37,39,Republicans +2
QuinnipiacQuinnipiac,5/19 - 5/26,1711 RV,39,36,Democrats +3
Rasmussen ReportsRasmussen,5/10 - 5/14,2500 LV,38,38,Tie
